AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
COLD,Americold Realty Trust,Consumer Services,Real Estate Investment Trusts
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines
ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts
AMEH,"Apollo Medical Holdings, Inc.",Consumer Services,Professional Services
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts
APDN,"Applied DNA Sciences, Inc.",Consumer Services,Other Consumer Services
ARMK,Aramark,Consumer Services,Restaurants
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services
ARCE,Arco Platform Limited,Consumer Services,Other Consumer Services
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
AI,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
AINC,Ashford Inc.,Consumer Services,Professional Services
ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials
ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services
HOME,At Home Group Inc.,Consumer Services,Home Furnishings
AACG,ATA Creativity Global,Consumer Services,Other Consumer Services
ATIF,ATIF Holdings Limited,Consumer Services,Professional Services
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores
AVCO,Avalon GloboCare Corp.,Consumer Services,Professional Services
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment
BZUN,Baozun Inc.,Consumer Services,Catalog/Specialty Distribution
MPV,Barings Participation Investors,Consumer Services,Miscellaneous
BNED,"Barnes & Noble Education, Inc",Consumer Services,Other Specialty Stores
BBQ,"BBQ Holdings, Inc. ",Consumer Services,Restaurants
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings
BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores
BIG,"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores
BH,Biglari Holdings Inc.,Consumer Services,Restaurants
BHTG,"BioHiTech Global, Inc.",Consumer Services,Other Consumer Services
BGI,Birks Group Inc.,Consumer Services,Consumer Specialties
BJRI,"BJ&#39;s Restaurants, Inc.",Consumer Services,Restaurants
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",Consumer Services,Department/Specialty Retail Stores
BLMN,"Bloomin&#39; Brands, Inc.",Consumer Services,Restaurants
APRN,"Blue Apron Holdings, Inc.",Consumer Services,Catalog/Specialty Distribution
BRG,"Bluerock Residential Growth REIT, Inc.",Consumer Services,Real Estate Investment Trusts
BMCH,"BMC Stock Holdings, Inc.",Consumer Services,RETAIL: Building Materials
WIFI,"Boingo Wireless, Inc.",Consumer Services,Telecommunications Equipment
BCC,"Boise Cascade, L.L.C.",Consumer Services,RETAIL: Building Materials
BKNG,Booking Holdings Inc.,Consumer Services,Transportation Services
BOOT,"Boot Barn Holdings, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
BAH,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services
BXP,"Boston Properties, Inc.",Consumer Services,Real Estate Investment Trusts
BYD,Boyd Gaming Corporation,Consumer Services,Hotels/Resorts
BHR,Braemar Hotels & Resorts Inc.,Consumer Services,Real Estate Investment Trusts
BDN,Brandywine Realty Trust,Consumer Services,Real Estate Investment Trusts
BEDU,Bright Scholar Education Holdings Limited,Consumer Services,Other Consumer Services
EAT,"Brinker International, Inc.",Consumer Services,Restaurants
BRX,Brixmor Property Group Inc.,Consumer Services,Real Estate Investment Trusts
BRMK,Broadmark Realty Capital Inc.,Consumer Services,Real Estate Investment Trusts
BAM,Brookfield Asset Management Inc,Consumer Services,Building operators
BIP,Brookfield Infrastructure Partners LP,Consumer Services,Marine Transportation
BPR,Brookfield Property REIT Inc.,Consumer Services,Real Estate Investment Trusts
BPRAP,Brookfield Property REIT Inc.,Consumer Services,Real Estate Investment Trusts
BRT,BRT Apartments Corp.,Consumer Services,Real Estate Investment Trusts
BKE,"Buckle, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
BBW,"Build-A-Bear Workshop, Inc.",Consumer Services,Recreational Products/Toys
BLDR,"Builders FirstSource, Inc.",Consumer Services,RETAIL: Building Materials
BURL,"Burlington Stores, Inc.",Consumer Services,Department/Specialty Retail Stores
CABO,"Cable One, Inc.",Consumer Services,Television Services
CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts
CALX,"Calix, Inc",Consumer Services,Telecommunications Equipment
CPT,Camden Property Trust,Consumer Services,Real Estate Investment Trusts
CNNE,"Cannae Holdings, Inc.",Consumer Services,Restaurants
CPHC,Canterbury Park Holding Corporation,Consumer Services,Services-Misc. Amusement & Recreation
BXMT,"Capital Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CMO,Capstead Mortgage Corporation,Consumer Services,Real Estate Investment Trusts
CRCM,"Care.com, Inc.",Consumer Services,Other Consumer Services
CTRE,"CareTrust REIT, Inc.",Consumer Services,Real Estate Investment Trusts
CCL,Carnival Corporation,Consumer Services,Marine Transportation
CUK,Carnival Corporation,Consumer Services,Marine Transportation
CSV,"Carriage Services, Inc.",Consumer Services,Other Consumer Services
TAST,"Carrols Restaurant Group, Inc.",Consumer Services,Restaurants
CTT           ,"CatchMark Timber Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CATO,Cato Corporation (The),Consumer Services,Clothing/Shoe/Accessory Stores
CBL,"CBL & Associates Properties, Inc.",Consumer Services,Real Estate Investment Trusts
CDW,CDW Corporation,Consumer Services,Catalog/Specialty Distribution
FUN,"Cedar Fair, L.P.",Consumer Services,Services-Misc. Amusement & Recreation
CDR,"Cedar Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CETV,Central European Media Enterprises Ltd.,Consumer Services,Broadcasting
CNTY,"Century Casinos, Inc.",Consumer Services,Hotels/Resorts
GIB,CGI Inc.,Consumer Services,Professional Services
BURG,"Chanticleer Holdings, Inc.",Consumer Services,Restaurants
CHTR,"Charter Communications, Inc.",Consumer Services,Television Services
CLDT,Chatham Lodging Trust (REIT),Consumer Services,Real Estate Investment Trusts
CHGG,"Chegg, Inc.",Consumer Services,Other Consumer Services
CHMI,Cherry Hill Mortgage Investment Corporation,Consumer Services,Real Estate Investment Trusts
CHWY,"Chewy, Inc.",Consumer Services,Catalog/Specialty Distribution
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Consumer Services,Movies/Entertainment
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",Consumer Services,Movies/Entertainment
CHS,"Chico&#39;s FAS, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
PLCE,"Children&#39;s Place, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
CIM,Chimera Investment Corporation,Consumer Services,Real Estate Investment Trusts
DL,China Distance Education Holdings Limited,Consumer Services,Other Consumer Services
CIFS,China Internet Nationwide Financial Services Inc.,Consumer Services,Professional Services
COE,China Online Education Group,Consumer Services,Other Consumer Services
CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,Restaurants
CHH,"Choice Hotels International, Inc.",Consumer Services,Hotels/Resorts
CHSCL,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHSCM,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHSCN,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHSCO,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHSCP,CHS Inc,Consumer Services,Farming/Seeds/Milling
CHDN,"Churchill Downs, Incorporated",Consumer Services,Services-Misc. Amusement & Recreation
CHUY,"Chuy&#39;s Holdings, Inc.",Consumer Services,Restaurants
CMCT,CIM Commercial Trust Corporation,Consumer Services,Real Estate Investment Trusts
CMCTP,CIM Commercial Trust Corporation,Consumer Services,Real Estate Investment Trusts
CIDM,Cinedigm Corp,Consumer Services,Consumer Electronics/Video Chains
CNK,Cinemark Holdings Inc,Consumer Services,Movies/Entertainment
CTRN,"Citi Trends, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
CIO,"City Office REIT, Inc.",Consumer Services,Real Estate Investment Trusts
CVEO,Civeo Corporation,Consumer Services,Hotels/Resorts
CCO,"Clear Channel Outdoor Holdings, Inc.",Consumer Services,Advertising
CLPR,Clipper Realty Inc.,Consumer Services,Real Estate Investment Trusts
CCOI,"Cogent Communications Holdings, Inc.",Consumer Services,Telecommunications Equipment
CLNY,"Colony Capital, Inc.",Consumer Services,Real Estate Investment Trusts
CLNC,"Colony Credit Real Estate, Inc.",Consumer Services,Real Estate Investment Trusts
CXP,"Columbia Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CCZ,Comcast Corporation,Consumer Services,Television Services
CMCSA,Comcast Corporation,Consumer Services,Television Services
CHCT,Community Healthcare Trust Incorporated,Consumer Services,Real Estate Investment Trusts
CBD,Companhia Brasileira de Distribuicao,Consumer Services,Food Chains
CDOR,"Condor Hospitality Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CONN,"Conn&#39;s, Inc.",Consumer Services,Consumer Electronics/Video Chains
TCS,Container Store (The),Consumer Services,Home Furnishings
CXW,"CoreCivic, Inc.",Consumer Services,Real Estate Investment Trusts
CORR,"CorEnergy Infrastructure Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CPLG,CorePoint Lodging Inc.,Consumer Services,Real Estate Investment Trusts
COR,CoreSite Realty Corporation,Consumer Services,Real Estate Investment Trusts
OFC,Corporate Office Properties Trust,Consumer Services,Real Estate Investment Trusts
COST,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores
CUZ,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Services,Restaurants
CEQP,Crestwood Equity Partners LP,Consumer Services,Other Consumer Services
CCI,Crown Castle International Corporation,Consumer Services,Real Estate Investment Trusts
CSS,"CSS Industries, Inc.",Consumer Services,Consumer: Greeting Cards
CUBE,CubeSmart,Consumer Services,Real Estate Investment Trusts
CMLS,Cumulus Media Inc.,Consumer Services,Broadcasting
CONE,CyrusOne Inc,Consumer Services,Real Estate Investment Trusts
DJCO,Daily Journal Corp. (S.C.),Consumer Services,Newspapers/Magazines
DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants
DSKE,"Daseke, Inc.",Consumer Services,Transportation Services
DSKEW,"Daseke, Inc.",Consumer Services,Transportation Services
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",Consumer Services,Restaurants
TACO,"Del Taco Restaurants, Inc.",Consumer Services,Restaurants
TACOW,"Del Taco Restaurants, Inc.",Consumer Services,Restaurants
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants
DBI,Designer Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DESP,"Despegar.com, Corp.",Consumer Services,Transportation Services
DXLG,"Destination XL Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
DSSI,Diamond S Shipping Inc.,Consumer Services,Transportation Services
DRH,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts
DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores
DLR,"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
DDS,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
DDT,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
DIN,"Dine Brands Global, Inc.",Consumer Services,Restaurants
DISCA,"Discovery, Inc.",Consumer Services,Television Services
DISCB,"Discovery, Inc.",Consumer Services,Television Services
DISCK,"Discovery, Inc.",Consumer Services,Television Services
DISH,DISH Network Corporation,Consumer Services,Television Services
DHC,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
SAUC,"Diversified Restaurant Holdings, Inc.",Consumer Services,Restaurants
DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores
DLPN,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DLPNW,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DFIN,"Donnelley Financial Solutions, Inc.",Consumer Services,Other Consumer Services
DEI,"Douglas Emmett, Inc.",Consumer Services,Real Estate Investment Trusts
DVD,"Dover Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
DS,Drive Shack Inc.,Consumer Services,Restaurants
DCAR,"DropCar, Inc.",Consumer Services,Telecommunications Equipment
DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts
DLTH,Duluth Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants
DLNG,Dynagas LNG Partners LP,Consumer Services,Marine Transportation
DX,"Dynex Capital, Inc.",Consumer Services,Real Estate Investment Trusts
SSP,E.W. Scripps Company (The),Consumer Services,Broadcasting
DEA,"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts
EGP,"EastGroup Properties, Inc.",Consumer Services,Real Estate Investment Trusts
MOHO,ECMOHO Limited,Consumer Services,Catalog/Specialty Distribution
LOCO,"El Pollo Loco Holdings, Inc.",Consumer Services,Restaurants
ERI,"Eldorado Resorts, Inc.",Consumer Services,Hotels/Resorts
EARN,Ellington Residential Mortgage REIT,Consumer Services,Real Estate Investment Trusts
EMMS,Emmis Communications Corporation,Consumer Services,Broadcasting
ESRT,"Empire State Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
ENG,ENGlobal Corporation,Consumer Services,Military/Government/Technical
EBF,"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services
ETM,Entercom Communications Corp.,Consumer Services,Broadcasting
EVC,Entravision Communications Corporation,Consumer Services,Broadcasting
ELA,Envela Corporation,Consumer Services,Consumer Specialties
EPR,EPR Properties,Consumer Services,Real Estate Investment Trusts
EQIX,"Equinix, Inc.",Consumer Services,Real Estate Investment Trusts
EQC,Equity Commonwealth,Consumer Services,Real Estate Investment Trusts
ELS,"Equity Lifestyle Properties, Inc.",Consumer Services,Real Estate Investment Trusts
EQR,Equity Residential,Consumer Services,Real Estate Investment Trusts
EROS,Eros International PLC,Consumer Services,Movies/Entertainment
EPRT,"Essential Properties Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
ESS,"Essex Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
EDRY,EuroDry Ltd.,Consumer Services,Marine Transportation
EVRI,Everi Holdings Inc.,Consumer Services,Services-Misc. Amusement & Recreation
EVI,"EVI Industries, Inc.",Consumer Services,Other Consumer Services
EVH,"Evolent Health, Inc",Consumer Services,Other Consumer Services
XAN,Exantas Capital Corp.,Consumer Services,Real Estate Investment Trusts
EXPE,"Expedia Group, Inc.",Consumer Services,Transportation Services
EXPO,"Exponent, Inc.",Consumer Services,Professional Services
EXPR,"Express, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
STAY,"Extended Stay America, Inc.",Consumer Services,Hotels/Resorts
EXR,Extra Space Storage Inc,Consumer Services,Real Estate Investment Trusts
EZPW,"EZCORP, Inc.",Consumer Services,Other Specialty Stores
FPI,Farmland Partners Inc.,Consumer Services,Real Estate Investment Trusts
FAST,Fastenal Company,Consumer Services,RETAIL: Building Materials
FAT,FAT Brands Inc.,Consumer Services,Restaurants
FRT,Federal Realty Investment Trust,Consumer Services,Real Estate Investment Trusts
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Services,Restaurants
FR,"First Industrial Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
FCFS,"FirstCash, Inc.",Consumer Services,Other Specialty Stores
FIVE,"Five Below, Inc.",Consumer Services,Department/Specialty Retail Stores
BDL,"Flanigan&#39;s Enterprises, Inc.",Consumer Services,Restaurants
FLNG,FLEX LNG Ltd.,Consumer Services,Marine Transportation
FND,"Floor & Decor Holdings, Inc.",Consumer Services,RETAIL: Building Materials
FLNT,"Fluent, Inc.",Consumer Services,Advertising
FL,"Foot Locker, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
FORR,"Forrester Research, Inc.",Consumer Services,Diversified Commercial Services
FBM,"Foundation Building Materials, Inc.",Consumer Services,RETAIL: Building Materials
FCPT,"Four Corners Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
FEDU,Four Seasons Education (Cayman) Inc.,Consumer Services,Other Consumer Services
FOX,Fox Corporation,Consumer Services,Broadcasting
FOXA,Fox Corporation,Consumer Services,Broadcasting
FRAN,Francesca&#39;s Holdings Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
FC,Franklin Covey Company,Consumer Services,Other Consumer Services
FSP,Franklin Street Properties Corp.,Consumer Services,Real Estate Investment Trusts
FCN,"FTI Consulting, Inc.",Consumer Services,Professional Services
FLL,"Full House Resorts, Inc.",Consumer Services,Hotels/Resorts
GAIA,"Gaia, Inc.",Consumer Services,Movies/Entertainment
GME,Gamestop Corporation,Consumer Services,Electronics Distribution
GLPI,"Gaming and Leisure Properties, Inc.",Consumer Services,Real Estate Investment Trusts
GCI,"Gannett Co., Inc.",Consumer Services,Newspapers/Magazines
GPS,"Gap, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
IT,"Gartner, Inc.",Consumer Services,Other Consumer Services
GLOG,GasLog LP.,Consumer Services,Marine Transportation
GLOP,GasLog Partners LP,Consumer Services,Marine Transportation
GATX,GATX Corporation,Consumer Services,Transportation Services
GMTA,GATX Corporation,Consumer Services,Transportation Services
GCO,Genesco Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
GNUS,"Genius Brands International, Inc.",Consumer Services,Movies/Entertainment
G,Genpact Limited,Consumer Services,Professional Services
GEO,Geo Group Inc (The),Consumer Services,Real Estate Investment Trusts
GOOD,Gladstone Commercial Corporation,Consumer Services,Real Estate
GOODM,Gladstone Commercial Corporation,Consumer Services,Real Estate
GOODN,Gladstone Commercial Corporation,Consumer Services,Real Estate
LAND,Gladstone Land Corporation,Consumer Services,Real Estate Investment Trusts
LANDP,Gladstone Land Corporation,Consumer Services,Real Estate Investment Trusts
ENT,Global Eagle Entertainment Inc.,Consumer Services,Telecommunications Equipment
GMRE,Global Medical REIT Inc.,Consumer Services,Real Estate Investment Trusts
GNL,"Global Net Lease, Inc.",Consumer Services,Real Estate Investment Trusts
SELF,"Global Self Storage, Inc.",Consumer Services,Real Estate Investment Trusts
GSAT,"Globalstar, Inc.",Consumer Services,Telecommunications Equipment
GMS,GMS Inc.,Consumer Services,RETAIL: Building Materials
GOGO,Gogo Inc.,Consumer Services,Telecommunications Equipment
GLNG,Golar LNG Limited,Consumer Services,Marine Transportation
GMLP,Golar LNG Partners LP,Consumer Services,Marine Transportation
GMLPP,Golar LNG Partners LP,Consumer Services,Marine Transportation
GDEN,"Golden Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
GOGL,Golden Ocean Group Limited,Consumer Services,Marine Transportation
GTIM,Good Times Restaurants Inc.,Consumer Services,Restaurants
GRSH,"Gores Holdings III, Inc.",Consumer Services,Diversified Commercial Services
GRSHU,"Gores Holdings III, Inc.",Consumer Services,Diversified Commercial Services
GRSHW,"Gores Holdings III, Inc.",Consumer Services,Diversified Commercial Services
GPX,GP Strategies Corporation,Consumer Services,Other Consumer Services
GHC,Graham Holdings Company,Consumer Services,Other Consumer Services
LOPE,"Grand Canyon Education, Inc.",Consumer Services,Other Consumer Services
GPMT,Granite Point Mortgage Trust Inc.,Consumer Services,Real Estate Investment Trusts
GTN,"Gray Television, Inc.",Consumer Services,Broadcasting
AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts
GHG,GreenTree Hospitality Group Ltd.,Consumer Services,Hotels/Resorts
GO,Grocery Outlet Holding Corp.,Consumer Services,Food Chains
GRWG,GrowGeneration Corp.,Consumer Services,RETAIL: Building Materials
TV,Grupo Televisa S.A.,Consumer Services,Broadcasting
GSX,GSX Techedu Inc.,Consumer Services,Other Consumer Services
GYRO,"Gyrodyne , LLC",Consumer Services,Building operators
HRB,"H&R Block, Inc.",Consumer Services,Other Consumer Services
HLG,Hailiang Education Group Inc.,Consumer Services,Other Consumer Services
HBI,Hanesbrands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Consumer Services,Real Estate Investment Trusts
HSC,Harsco Corporation,Consumer Services,Diversified Commercial Services
HVT,"Haverty Furniture Companies, Inc.",Consumer Services,Other Specialty Stores
HDS,"HD Supply Holdings, Inc.",Consumer Services,Office Equipment/Supplies/Services
HR,Healthcare Realty Trust Incorporated,Consumer Services,Real Estate Investment Trusts
HTA,"Healthcare Trust of America, Inc.",Consumer Services,Real Estate Investment Trusts
HTIA,"Healthcare Trust, Inc.",Consumer Services,Real Estate Investment Trusts
PEAK,"Healthpeak Properties, Inc.",Consumer Services,Real Estate Investment Trusts
HMTV,"Hemisphere Media Group, Inc.",Consumer Services,Television Services
HT,Hersha Hospitality Trust,Consumer Services,Real Estate Investment Trusts
HTZ,"Hertz Global Holdings, Inc",Consumer Services,Rental/Leasing Companies
HIBB,"Hibbett Sports, Inc.",Consumer Services,Other Specialty Stores
HIW,"Highwoods Properties, Inc.",Consumer Services,Real Estate Investment Trusts
HIL,"Hill International, Inc.",Consumer Services,Military/Government/Technical
HGV,Hilton Grand Vacations Inc.,Consumer Services,Hotels/Resorts
HLT,Hilton Worldwide Holdings Inc.,Consumer Services,Hotels/Resorts
HMG,"HMG/Courtland Properties, Inc.",Consumer Services,Real Estate Investment Trusts
HMLP,Hoegh LNG Partners LP,Consumer Services,Marine Transportation
HD,"Home Depot, Inc. (The)",Consumer Services,RETAIL: Building Materials
HST,"Host Hotels & Resorts, Inc.",Consumer Services,Real Estate Investment Trusts
HMHC,Houghton Mifflin Harcourt Company,Consumer Services,Books
HHC,Howard Hughes Corporation (The),Consumer Services,Real Estate Investment Trusts
HTHT,Huazhu Group Limited,Consumer Services,Hotels/Resorts
HUD,Hudson Ltd.,Consumer Services,Department/Specialty Retail Stores
HCFT,"Hunt Companies Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
HURN,Huron Consulting Group Inc.,Consumer Services,Professional Services
HBP,"Huttig Building Products, Inc.",Consumer Services,RETAIL: Building Materials
H,Hyatt Hotels Corporation,Consumer Services,Hotels/Resorts
HYRE,HyreCar Inc.,Consumer Services,Rental/Leasing Companies
IAC,IAC/InterActiveCorp,Consumer Services,Other Specialty Stores
ICFI,"ICF International, Inc.",Consumer Services,Professional Services
IDEX,"Ideanomics, Inc.",Consumer Services,Television Services
IFMK,iFresh Inc.,Consumer Services,Food Chains
IHRT,"iHeartMedia, Inc.",Consumer Services,Broadcasting
IMBI,"iMedia Brands, Inc.",Consumer Services,Catalog/Specialty Distribution
IMH,"Impac Mortgage Holdings, Inc.",Consumer Services,Real Estate Investment Trusts
IOR,"Income Opportunity Realty Investors, Inc.",Consumer Services,Real Estate Investment Trusts
IRT,"Independence Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
ILPT,Industrial Logistics Properties Trust,Consumer Services,Real Estate Investment Trusts
III,"Information Services Group, Inc.",Consumer Services,Professional Services
IMKTA,"Ingles Markets, Incorporated",Consumer Services,Food Chains
IHT,InnSuites Hospitality Trust,Consumer Services,Real Estate Investment Trusts
NSIT,"Insight Enterprises, Inc.",Consumer Services,Catalog/Specialty Distribution
